clase;medio;texto_limpio
Robatori amb força;La Vanguardia;roben cuiden acomiado intima satisfaccio acaba mandat presidencial comunitat veins convuls ascensor avariar immoble voyeur grava nits aixo pogut res desestimada opcio sicari economic comencar gener robatori casa presidencial acabat dissabte sonar timbre set tarda laura dern vestida advocada barcelona desproposits obro veig agenollats observant porta miressin conca fent indagacions salvat robatori dormir casa nits diferencia victimes parella angloargentina nens donen fets autoria correspon banda estrangera
Homicidi Consumat;Ara;troben nounat mort paperera bisbal emporda barcelona bisbal empordaun nado acabat neixer aparegut mort dimarts mati paperera bisbal emporda segons fonts consultades trobat cap quarts set treballador servei neteja municipal feia ronda centre ell avisat serveis emergencia treballador municipal trobat cos nado mort segons fonts proximes cas sistema emergencies mediques sem nomes pogut confirmar defuncio obert investigacio secret sumari descobrir abandonat fonts coneixedores fets expliquen nado acabava neixer penjava cordo umbilical abandonat paperera metal lica petites dimensions toca facana exterior parroquia santa maria bisbal emporda fet troballa carrer germans sitja punt centric capital emporda situat darrere esglesia localitat metres ajuntament revisen cameres seguretat establiments proxims reconstruir fets
Assassinat Consumat;Ara;deute economic darrere assassinat noia anys ribera ebre barcelonael cadaver marina apareixer diesen camp tocar carretera mora nova ribera ebre tenia anys garcia poble habitants comarca cadaver trobar pages passava alla hora mati cos tenia evidents signes violencia morats cops traus assassinat marina moment considerat tercer feminicidi catalunya produit mes consellera igualtat feminismes tania verge condemnar garcia feminicidi colpeja comunitat poble realitat nom marina apareix recompte assassinats masclistes comput feminicidis departament igualtat feminismes dir investigacio policial descartat finalment detingut crim mates parella exparella seria recompte assassinessin fet dona apareixeria recompte govern trobes cos familiars marina havien denunciat desaparicio treballava residencia gent mora nova torn acabava tard passades nou nit dimecres tornar casa cotxe continuava aparcat geriatric segons testimonis marina sortir feina home cap hores troballa cadaver detenir presumpte autor crim noi anys vei mora nova preso preventiva crim tenia almenys antecedents agressio sexual ultima festa major poble passat perfil conflictiu tenia controlat entorn marina deien sabien noi insistien victima botxi coneixien
Homicidi Consumat;Ara;investiguen mort violenta home zona rural segria barcelonaels investiguen mort violenta home divendres vilanova barca comarca segria avis sigut dues migdia segons fonts consultades dona trucat telefon emergencies alertant trobat marit totalment inconscient zona rural propietat efectius sistema emergencies mediques pogut res salvar vida home acabat morint segons fonts consultades home presentaria fort trau cap hauria deixat inconscient hauria acabat provocant mort buscant autors fets segons primeres informacions autors haurien robat cotxe despres agredir haurien escapat carretera divisio investigacio criminal lleida fet carrec investigacio troba secret actuacions aclarir fets hipotesis obertes robatori violent agressio coneguts
Incendi;Ara;accident principal hipotesi origen incendi mortal calella barcelonaun home mort matinada incendi pis calella comarca maresme avis foc rebut minuts bombers generalitat incendi controlat despres atacar intensitat flames venien tercer pis cop interior habitatge quedat totalment calcinat bombers localitzat cadaver persona segons fonts coneixedores fets apunta tracta home anys antecedents cadaver dificultat tasques identificacio equips emergencia hagut evacuar pis home confinat habitacio gos noi aconseguit sortir pis compte arribada bombers segons pogut principal hipotesi policial causa origen foc sigut totalment accidental aixo inici segons diverses fonts consultades identitat persones pis originat foc posat alerta concretament bombers hagut evacuar noi implicat incendi provocat localitat mes passat marc conflicte relacionat trafic drogues propietaria pis presumpta traficant grup joves multireicidents acumulen mes detencions mig ajuntament calellaha situat principals detonants sensacio inseguretat veins municipi pis hauria calat foc desembre prop incendi avui jove vinculat incendis sovint grup multireincidents quatre troben preso preventiva preocupa ajuntament fonts policials defineixen multireincidents noi antecedents actes incivics
Conduir sense permís;La Razón;encuentran menor volante coche padre ebrio agentes local huelva detenido menor conducia vehiculo viajaba padre embriaguez conductor tenia carne poseer edad reglamentaria interceptado principales avenidas capital onubense manana reyes explico perfil redes sociales recoge europa press menor salto semaforos agentes alto comprobaron sorpresa interior vehiculo viajaba adulto resulto padre sintomas embriaguez local huelva abierto diligencias menor padre cooperador necesario informa efe desconoce menor decidio ponerse volante embriaguez padre practica habitual
Assassinat Consumat;La Vanguardia;denuncia mare retira custodia agressor marta ariste advocada mare leo nen anys assassinat pare agost convertir victima violencia vicaria catalunya voste assumir causa leo nens assassinats violencia vicaria espanya mes actuant diligentment
Homicidi Consumat;Ara;mare nado bisbal lega neixer mort barcelonaels identificat localitzatla mare nounat trobat mort paperera bisbal empordael gener segons informa efe mare declarat nen neixer mort quedar embarassada arran violacio noia origen africa mes vint anys assegura amagar moment embaras entorn donar llum deixar nado vida paperera nado acabava neixer penjava cordo umbilical treballador servei neteja municipal trobar abandonat paperera metal lica petites dimensions toca facana exterior parroquia santa maria bisbal emporda fet troballa carrer germans sitja punt centric capital emporda situat darrere esglesia localitat metres ajuntament treballador trobar nounat mort
Robatori amb violència i/o intimidació;Ara;robatori reus tiren terra home cadira rodes roben diners morfina barcelonael veure entrar banc cadira rodes esperar sortir nois seguir metres tirar home mitjana edat mobilitat reduida caure terra nois buscar cartera robar euros acabava treure banc despres arrencar cateter anava connectat bomba subministrava morfina pal liar dolor cateter tenia enganxat esquena home comencar sagnar agressors marxar corrents diners morfina gener dues migdia centre reus plena llum aconseguir identificar detenir autors robatori mig despres nois anys acumulen multiples antecedents explica subinspector marco jimenez responsable seguretat ciutadana reus suma sis quatre delictes robatoris violencia cometen delictes oportunistes afegeix subinspector cas robatori planificat havien fet seguiment previ victima simplement veure entrava cadira rodes banc voler aprofitar
Agressions sexuals i Abusos sexuals;Ara;detingut home acusat violar mare nado trobat mort paperera barcelonaels detingut bisbal emporda home anys presumpte autor violacio maredel nounat passat gener trobar mort papererade localitat darrers dies aconseguit identificar localitzar mare criatura dona declarar quedar embarassada arran violacio nen neixer vida policial mare aportar detalls clau investigadors localitzar autor agressio sexual patir demanar mesures proteccio segons pogut agressor victima coneixien segons informat catalana detencio practicar dijous divendres mati home quedat llibertat carrecs despres passar disposicio judicial dona mes vint anys assegurar amagar moment embaras entorn confessar donar llum deixar nado vida paperera nado acabava neixer penjava cordo umbilical treballador servei neteja municipal trobar abandonat paperera metal lica petites dimensions toca facana exterior parroquia santa maria bisbal emporda treballador trobar nounat mort
Homicidi Consumat;La Vanguardia;troba blister valeriana buit cuina presumpte parricida horta prou feines passat mes mes terrible descoberta germans anys assassinats presumptament pare mort tambe pis horta vivien grup homicidis barcelona continua treballant relat declaracions entorn familiar laboral presumpte assassi provar trobar anomena etiologia causa portar home anys posar vida fills hores catalana cap dubte vatractar doble assassinat suicidi morts provocades inhalacio monoxid carboni emetredurant matinada dilluns braser carbo alimentat nombroses pastilles encendre
Detenció il·legal;Ara;busquen mare quatre menors tutelats desapareguts divendres barcelonaels intentant localitzar quatre menors edat tutelats generalitat catalunya vivien provisionalment centre menors lleida avancatel segrei pogut confirmar menors quatre germans segons fonts consultades diari sospita familia biologica nens ls hauria emportat fossin reubicats familia acollida detingut pare quatre germans home anys aixo quedat demostrada implicacio fets quedat llibertat investigat busquen mare menors pare moment detencio membres familia sostraccio divendres gener hipotesi hagin sigut menors hagin escapat descartada segons fonts consultades segrest centre fonts apunten ls endur vehicle aprofitant havien fet sortida treballadora generalitat segons fonts detenir pare menors presumpte autor segrest home menors quedar demostrat hagues participat sostraccio germans vivien provisionalment centre menors raimat tocar lleida havien reubicats familia acollida setmanes vinents temors segons fonts policials enduguin menors origen aixo buscant mare
Agressions sexuals i Abusos sexuals;La Razón;detenido barcelona rey etnobotanica obligar ninas mantener relaciones sexuales nacional detenido barcelona peligroso fugitivo rumano acusado obligar chicas menores edad mantener relaciones sexuales informado hechos remontan mes julio hombre retuvo apartamento ciudad bucarest ninas agredio fisicamente amenazo arma fuego mantuvieran relaciones sexuales detenido tenia orden europea detencion entrega emitida rumania secuestro trafico drogas detenido conocido rey etnobotanica pionero establecer tienda suenos rumania
Estafes;La Vanguardia;repsol abre investigacion interna estafa bombonas butano pequenadisputa vecinal barrio mataro maresme pie multinacional repsol abra investigacion interna dirimir corroboran cientos lectores dela vanguardia repartidores bombonas butano aplican sobrecoste ilegal precio regulado caso evidencia estafa goteo practica generalizada catalunya resto fuentes oficiales repsol declaran volver pedir disculpas clientes visto afectados tipo practicas permitidas aseguran interesados suceda manos solucionarlo
Estafes;La Vanguardia;repsol obre investigacio estafa bombones buta petita disputa veinal barri mataro propiciat multinacional repsol obri investigacio interna dirimir corroboren centenars lectors dela vanguardia repartidors bombones buta apliquen sobrecost il legal preu regulat cas evidencia estafa degoteig practica generalitzada catalunya tambe resta espanya fonts oficials repsol declaren tornar demanar disculpes clients vist afectats tipus practiques permeses asseguren primers interessats aixo passi fent solucionar
Assassinat Consumat;Ara;crim torroella montgri troben dona morta cotxe diverses apunyalades barcelonaels investiguen mort violenta dona localitat gironina torroella montgri emporda cadaver trobat interior cotxe cami zona gola ter tocar estartit catalana rebut avis testimoni cap migdia deia interior vehicle estacionat cami terra persona signes vitals agents divisio investigacio criminal dic regio policial girona fet carrec cas aclarir mort dona anys hores principal hipotesi tracta crim cadaver presenta diverses apunyalades segons fonts properes cas inspeccio policial detectat elements visibles violencia extrema aixecament cadaver investigadors catalana vist indicis clars homicidi cos victima serien diverses ferides arma blanca prioritzat hipotesi mort violenta possibilitats mort accidental voluntaria fet investigacio assumit directament dic encarrega morts criminals
Detenció il·legal;Ara;busquen home hauria emportat punta pistola fill tutelat centre lleida barcelonanou cas sostraccio menors tutelats lleida segon nomes deu dies buscant home diumenge hauria emportat fill anys centre menors tutelats generalitat pare juntament familiars entrar forca centre acollida torre vicens amenacar pistola treballadors perque donessin fill hores segons fonts policials clar pistola disparar real simulada fets avancats perel segrei confirmats passar diumenge nit pogut localitzar menor familiars
Assassinat Consumat;Ara;bombers busquen veins edifici ensorrat parcialment badalona badalona barcelonaun edifici cinc plantes esfondrat parcialment dimarts mati badalona bombers generalitat busquen algu atrapat persones localitzades dona anys home franja edat dona anys persones empadronades edifici situat numero carrer canigo centric barri raval vivien habitatges diferents segons explicat familiars desapareguts fent videotrucada casa moment col lapse bombers evacuat forma preventiva edificis costat numero numero mitja tarda residents habitatges pogut tornar casa habitants evacuats edifici esfondrat majoria allotjaran cases familiars possible ajuntament badalona oferira hotel pensio segons fonts consultades edifici construir tenia obert cap expedient deficiencies estructurals revisat anys esfondrament sigut hores col lapsat coberta atic cedit sostres costat edifici deixant intacta facana dir quedat ensorrats menjadors atic baixos mantingut dreta resta pis aixo permes diversos veins poguessin sortir peu bloc corroboren diversos testimonis fonts bombers
Robatori amb violència i/o intimidació;Ara;principal hipotesi esfondrament badalona runa acumulada atic obres barcelonaels especialistes investiguen causes esfondrament parcial edifici badalona tragic accident deixat victimes mortalsque mati bombers generalitat localitzat runa bloc cinc plantes situat carrer canigo enfondrar totalment cedir sostres costat edifici deixant intacta facana dir quedar ensorrats menjadors atic baixos mantenir dreta resta pisos element clau investigacio espera resultats perits mes informes situacio bloc tenen tesi segons fonts consultades treballa hipotesi sostres cedir acumulacio runa terra atic obres apunta segons fonts coneixedores cas vei atic fent reforma menor res estructural apunten fonts acumular runa terra fet provocar cedis crees efecte domino sostres pisos paral lel investiga edifici tenia defecte estructural inspeccio despres sinistre segons fonts presents bombers parlar possible aluminosi existencia materials mala qualitat sostre atic hipotesi tambe apuntat dimecres alcalde badalona xavier garcia albiol sigui sigui hipotesis inicials investigacio acaba comencar
Lesions;La Razón;violenta pelea gimnasio cola maquinas sala entrenamiento recien inaugurado gimnasio ciudad reus tarragona escenario multitudinario enfrentamiento punetazos palos clientes concretamente pelea instalaciones centro deportivo fitness park ubicado centro comercial fira paseo sant jordi obligar aprender catalan colegios imponga
Homicidi Consumat;Ara;nou crim catalunya troben bages cadaver jove desaparegut tarragona barcelonanou crim catalunya localitzat cadaver signes violencia zona boscosa prop llera riu cardener terme municipal callus comarca bages segons pogut victima home anys municipi comarques tarragona feia temps desaparegut fet familia presentat denuncia desaparicio treballa hipotesi autor autors crim abandonar cadaver punt ocult bages moment cap detingut localitzar cadaver dimarts nit fonts coneixedores fets apunten cos presentava diverses lesions concretar cops ferides arma blanca segons pogut diari sigut localitzat directament cos vida jove arribar element sigut clau telefon mobil ubicar mobil victima callus aixo portar llera riu cardener mobil apareixer zona prop finalment agents trobar cadaver
Organitzacions i grups criminals;La Vanguardia;fil connecta jutges aguirre garcia castellon jutges condi cionant esdevenir negociacio llei amnistia manuel garcia castellon titular jutjat numero audiencia nacional joaquin aguirre numero instruccio barcelona tenen fil comu procedir investigacions dirigeixen dirigit vinculades trama policial actuar il legalment ministeri interior govern mariano rajoy membre mes conegut excomissari jose manuel villarejo fil conductor resumeix proximitat aguirre activitats trama policial corrupta objectiu comu imputar trapero mercadejos narcotrafic negativa garcia castellon investigar actuacions il legals cos catala seguretat denunciar magistrat instructor cas tandem centrat il legalitats villarejo
Contra la salut pública;Ara;delinquencia barcelona puja trafic drogues baixen furts barcelonaquin problema mes greu barcelona enquestats ajuntament respondre inseguretat categoria diferencia resposta ultim barometre practicament calcada tornar situar problema mes greu cinc anys percepcio habitants capital catalana variat fet quantitat delictes tingut acces dades delinquencials barcelona presentaran dilluns junta seguretat local celebraran ajuntament conselleria interior passat capital catalana cometre delictes menys referencia servir comparar dades delinquencials restriccions mobilitat pandemia delictes baixat ultim gairebe fets delictius menys districtes menys nou barris registren baixada delictes record assolit eixample menys categories registren augment preocupant estafes delictes vinculats trafic drogues
Lesions;La Vanguardia;brutal agresion partido juveniles perdi vision temblaba elfutbolse momentos tension campo grada sabido recurrente justificado partidos futbol base desgracia casos afortunadamente fricciones acostumbran mayores excepciones quisieramos enero partido grupo lasegunda divisionjuvenil catalana enfrentaba club barcelonista terlenka prat llobregat sagrat cor sarria barcelona finalizados minutos portero rival anos sufrio agresion decena personas procedian grada podia acabado tragedia suelo joven recibio numerosas patadas cabeza tradujeron hematomas fractura dedo pulgar lamanoderecha obviamente lospadrespresentaron denuncia incidente empezo fraguar minutos finales partido sagrat cor marco gol victoria version madre patricia celebro cerrando puno mirando suscompaneros escuche alguien grito deja celebrar parto piernas explica patricia obviamente escuchar frase dirigida hijo agradable penso iria alla amenaza equivocaba
Homicidi per imprudència;La Vanguardia;muere conductor impacto rueda perdida vehiculo sallent conductor turismo muerto domingo sallent bages informado servei catala transit sct comunicado causas investigan remolque vehiculo perdido rueda impactado turismo iba sentido contrario kilometro via
Assassinat Consumat;La Vanguardia;confirmado olot crimen machista laila anos losmossos esquadrahan confirmado crimen laila anos jueves enolot girona caso violencia machista pareja anos acabo vida investigacion manejaba principal hipotesis crimen viernes confirmado trato efectivamente asesinato machista autor suicido cometerlo falleciendo hospital comarcal garrotxa trasladado grave departamento igualdad feminismos generalitat condenado feminicidio expresado apoyo entorno victima ayuntamiento olot decretado duelo convocado concentracion viernes
Assassinat Consumat;Ara;confirmen crim masclista assassinat dona olot barcelonaels confirmen mort violenta dona anys dijous olot garrotxa crim masclista fets passar dijous habitatge avinguda santa coloma trobar victima vida ferides arma blanca tambe trobar home ferit anys confirma parella victima traslladat hospital finalment morir confirma cinque feminicidi gener catalunya fills victima alertar situacio cap quarts quatre tarda dijous rebre alerta traves servei emergencies mediques sem informar dues persones ferides arma blanca habitatge home traslladat critic hospital josep trueta girona acabar morint
Estafes;La Vanguardia;estafa falso mecanico alertan timo costar euros advierten estafa utilizan delincuentes robar conductores informado losciudadanossobre timos comunes delretrovisor larueda pinchadao siembra cuerpo catalunya avisa engano timo falso mecanico victima conductor avanzada edad torello barcelona delincuentes sustrajeron euros simulando reparar vehiculo averiado traves mensaje publicado redes sociales informan metodo utilizado delincuentes apropiarse dinero victimas modalidad modus operandi utilizan ladrones consiste seleccionar persona edad avanzada volante preferentemente
Homicidi per imprudència;La Vanguardia;registrado terremoto magnitud epicentro huesca percibido lleida institut cartografic geologic catalunya icgc confirmado lunes noche registrado terremoto magnitud epicentro provincia huesca percibido diversas comarcas lleida informado apunte proteccio civil generalitat activo prealerta plan especial emergencias sismicas catalunya sismicat desactivado martes registrarse danos informado igcat recibido cuestionarios percepcion temblor telefono emergencias recibido llamadas catalunya
Organitzacions i grups criminals;Ara;gir guio causa casuals quedaran llibertat provisional barcelonadespres vuit mesos preso provisional membres casuals grup criminal vinculat boixos nois queels detenir juny passat macrooperatiuquedaran llibertat proximes hores membres banda ultra abandonaran preso mes menys lider ricardo mateo enxampar inici acabar arrestant mes despres juliol feia cafe terrassa platja aro avancatel paisi pogut confirmar jutge dirigeix macrocausa casuals emes resolucio deixa llibertat provisional espera judici membres banda preso preventiva sortir preso hauran pagar fianca euros hauran compareixer cop mes tribunal podran sortir espanya dotze podran sortir preso cop hagin pagat fianca segons fonts consultades tenen causes obertes condemnes impedeixen execucio llibertat provisional sigui immediata podran sortir liders casuals francisco perez aixo fonts defensa liderada advocat albert carles subirats pronostiquen perez tambe podra excarcerat setmanes vinents perque segona causa involucrat oberta homicidi penja macrocausa principal casuals termes practics aixo vol dir nou dotze acusats podran sortir preso cop hagin pagat fianca
Robatori amb força;La Vanguardia;desarticulado grupo robaba tragaperras catalunya valencia aragon operativo conjunto laguardia civilha desarticulado grupo itinerante dedicaba robar recaudacion maquinas tragaperras bares catalunya aragon yvalenciacon detencion personas registro domicilios detenidos encontro sacas kilos monedas euro acusados robos bares establecimientos localidades pequenas forzaban entrada hacerse recaudacion tragaperras rapida especializada comunicado
Assassinat Temptativa;Ara;home dispara escola badalona badalonaun home resultat ferit dimarts migdia portes escola badalona despres obris foc ell pistola fets passat placa font cusso carrer centric municipi centre educatiu escola cultural badalona espai pacients tractament addiccio centre delta drogodependencies segons fonts consultades pistoler disparat trets victima moment sortia centre desintoxicacio victima rebut impactes zones principi vitals hagut traslladat hospital bales calibre inicialment sospitat podien perdigonades segons fonts coneixedores victima antecedents policials delictes salut publica segons fonts centre drogodependents usuari feia temps acudia pistoler identificat continua fugit guardia urbana activat dispositiu trobar vei gravat video pistoler fugint anava vestit jersei gris amenacat mes vegada tornar disparar
Furt;Ara;robar mobil puguis acabar preso solucions multireincidents barcelonal passat barcelona persones cometre delictes cinc mes actius acumulen antecedents dit vida comes gairebe delictes cadascun majoria furts robatoris violents exemple personificat multireincidencia fenomen posat alerta principals ciutats catalunya pujat capital combat dimarts col legi advocacia barcelona icab jutjats barcelona proposat diverses mesures dega icab jesus maria sanchez jutgessa degana barcelona cristina ferrando posat focus furts delictes mes cometen multireincidents fet tambe mes registren capital catalana mes menys delictes concretament dega icab proposat congres diputats reformi codi penal perque penes furtar telefons mobils siguin mes dures comportin preso actualment furts menys euros consideren delictes lleus nou excepcions excepcions robatori cablejat electric telecomunicacions infraestructures articles historics artistics productes eines agraris icab proposa desena excepcio inclouria dispositius electronics tecnologics consideren robatori mobil mes simple aparell aixo faria delicte passes lleu menys greu imposar pena preso anys imposar tambe preso preventiva
Lesions;Ara;comissio juridica assessora dona rao victima foam titlla actuacio desproporcionada barcelonala comissio juridica assessora organ consultiu generalitat conclos actuar desproporcionada octubre protestes postsentencia agents ordre public suposadament disparar projectil foam colpejar cap olga avancar jove quedar greument ferida patir traumatisme cranioencefalic ingressar uci endema operada urgencia ingressada tretze dies sequeles anat mes enlla acreditar perdua audicio orella esquerra tambe patir crisi epileptica greu lesions cerebrals tambe quedat forat crani cm cicatriu cm comissio afirma quedat acreditada realitat absoluta fets existeixen indicis suficients arribar convenciment lesio patir causada impacte projectil foam aixo proposa generalitat indemnitzi victima euros
Assassinat Consumat;La Vanguardia;tsjc eleva penas gemelas sabadell asesinaron novio infrecuente sala apelacion penal tribunal superior justicia catalunya tsjc modifique sentencia procedimiento jurado atendiendo recurso presentado familia concretamente hija pedro fernandez lopez julio salvajemente asesinado dormia casa pareja dolores vazquez crimen ocurrio sabadell repercusion instruccion salieron luz videos grabados vecinos inmueble traves mirilla veia autor material crimen isaac gil gonzalez apaleando pateando pasando cuerpo vida victima jurado popular decreto culpables hermanas gemelas dolores pilar isaac pareja sentimental ultima tribunal condeno anos autor material penas corregidas elevadas anos dolores pilar isaac sentencia comunicada martes alivio exmujer hija victima anos pediamos condena razonable despeja sombra malos tratos victima dolores existieron explico conversacion telefonica conla vanguardiael abogado familia pedro juan pagan
Lesions;Ara;tirotejos quatre dies catalunya vinculats trafic drogues barcelonael prat llobregat dosrius badalona ubicacions ultims tirotejos armes foc registrat catalunya nomes passar hores detonant conflicte trafic drogues mig succes tarragona morir home forma violenta apunta tiroteig implicats tambe estarien relacionats drogues arma homicida ultim succes confirmada autopsia acaba avalant morir ferides bala serien quatre incidents armes foc quatre dies balanc habitual tirotejos conegut dimecres dissabte passar mes menys jutjats prat llobregat clans familiars problematic barri sant cosme resoldre diferencies trets segons fonts policials persona resultar ferida col laborant agents moment cap detingut principal hipotesi conflicte remunta operatiu trafic drogues dies precisament clans familiars esperant jutjats sortissin detinguts operatiu
Assassinat Consumat;Ara;homes buscaven esparrecs badalona troben cap huma barcelonados homes buscant esparrecs dijous mati zona boscosa tocar hospital germans trias pujol badalona trobat cap huma matolls rebut avis cap hores obert investigacio segons fonts consultades primeres exploracions apunten persona portava dues setmanes morta moment rastre resta cos iniciat zona trobar desconeix identitat victima transcendit tracta home dona troballa sigut zona propera carretera uneix badalona montcada reixac fonts policials qualifiquen mort violenta investiguen tractar crim
Assassinat Consumat;Ara;sospiten cap huma badalona vei vic desaparegut barcelonaels investigantsi cap huma homes trobar dimecresmentre buscaven esparrecs zona boscosa tocar hospital germans trias pujol badalona home vic anys desapareixer prop zona passat gener segons pogut trobat cos victima pogut identificar cap avancat descomposicio segons primeres exploracions feia mes setmanes mort fet quadraria data desaparicio vei vic sigui sigui nomes hipotesi policial tenen compte mes opcions fonts investigacio precisen ell candidats unica via tenen investigadors taula familia home ofert investigadors facilitar mostres adn contrastar cadaver fonts policials precisen desconeixen morir victima mort criminal accidental
Segrest;Ara;desapareix catalunya barcelonaavui cristina jove setze anys desapareixer nit marc cornella llobregat anys despres pare joan bergua lamenta segueixin cristina quedat parella amigues asseguren nit volia acabar relacio ell sempre mantingut deixar carretera esplugues prop casa ningu vista mai mes marc persones desaparegudes causa aparent cristina lluita pares crear associacio desapareguts passat families trobar situacio denunciar sabien res persona propera mes segons dades catalunya desapareixer deu persones acceptar denuncia endema diuen primeres hores primordials recorda pare cristina aixi portaveu montserrat escude insisteix transcorrer hores desaparicio casos persones grans resoldre desaparicions majoria casos apareixer voluntariament fet casos trobar cap hores nomes tardar setmana mes set dies persones desapareixer passat continuen estant parador desconegut majoria desapareguts tenien anys menors representen majors anys
Contra la salut pública;La Vanguardia;golpe redes narcotraficantes operaban area barcelona desarticulado area metropolitana barcelona diversos grupos dedicados trafico nacional internacional partidas marihuana hachis interconectados vinculados crimen organizado italiano detenido personas practicado registros operativo policial deriva caso magenta organizado conjuntamente guarda di finanza italiana cuyo dispositivo catalunya italia coordinado europol culminado personas detenidas relacionadas crimen organizado italiano catalunya investigacion dirigido juzgado instancia instruccion numero badalona barcelona italia fiscalia antimafia milan
Terrorisme;Ara;desactiven bombes sempre cal tallar cable determinat color sabadelltothom vist vegada licula accio sergent gustau aparisi cap excepcio ell subcap unitat especialitzada explosius tedax observa atentament pantalla cop bomba punt explotar gairebe sempre emporta decepcio esclata protagonistes corren camera lenta ona explosio segueix darrere velocitat fals mes morts ona metres segon afirma aparisi diu sector sol repetir frase sents explosio vol dir viu ficcio ficcio sovint coses realitat cable vermell protagonista talla queda segon perque bomba exploti aconsegueix desactivar facil color cal tallar rebat sergent coses complir trucada mobil antic activi sistema electronic provoqui forta detonacio prioritat treure equacio risc vida humana establert cordo seguretat artefacte exploti sol guanyat reflexiona sergent ell comandament especialitat mes antiga crear president josep tarradellas tornar epoca convulsa cotxes bomba artefactes casolans factors mes risc agents homes aparisi destaca sergenta caporala mossa
Assassinat Consumat;La Razón;parricidio barcelona hombre mata padres suicida investigan muerte personas miembros familia sant marti barcelona aparecido mujer domicilio vida padre hijo hallados muertos minutos interior vehiculo padre hijo huyendo coche escenario crimen fuentes policiales trataria doble parricidio presunto homicida habria suicidado matar madre casa huir coche padre detenidos lunes robaban disfrazados mujer joyeria barcelona
Assassinat Consumat;Ara;cadaver gracia falta cap investiguen trobar badalona barcelonaels investigant cadaver apareixer dijous bosses plastic ple carrer gracia vei vic desaparegut finals gener badalona trobar cap setmana passada zona boscosa tocar hospital germans trias pujol segons pogut cadaver trobat carrer ca alegre barri barceloni gracia complet falta cap aixo juntament cos portat investigadors pensar home desaparegut badalona segons fonts consultades cos presenta signes violencia inici investigat homicidi sigui home desaparegut hipotesi policial confirmat precisament divendres fonts policials confirmat cap huma trobar homes buscaven esparrecs badalona vigata desaparegut segons resultats proves adn confirmacio arribat respecte cos aparegut quilometres distancia cap
Robatori amb força;La Vanguardia;guardia civil detienen nueve personas asaltaban domicilios fuerza division investigacion criminal dic region policial metropolitana sur guardia civil asturias desmantelado organizacion criminal dedicaba robo fuerza domicilio detenido hombres mujeres presuntos autores delitos robo fuerza domicilio trece catalunya diez asturias pertenencia grupo criminal receptacion falsificacion documental investigacion inicio principios enero agentes unidad investigacion comisaria sant boi llobregat conocimiento robo fuerza domicilio santa coloma cervello semanas investigadores conocimiento robo grado tentativa municipio
Contra la llibertat sexual;La Vanguardia;liberadas mujeres victimas explotacion sexual laboral inmuebles catalunya agentes area central crimen organizado dic conjuntamente agentes nacional detuvieron febrero personas anos atribuyen delitos trafico seres humanos relativos explotacion sexual derechos trabajadores delitos derecho ciudadanos extranjeros pertenencia grupo criminal febrero operativo policial investigadores detuvieron investigados llevaron cabo entradas pesquisas localidades barcelona calafell salou cabrils clausuraron domicilios explotaba sexualmente victimas domicilios investigados intervinieron cantidades sustancias estupefacientes euros joyas documentacion diversa
Robatori amb força;Ara;carrer nit lladres antecedents roben escola restaurant pis barcelonanit intensa ronda sant antoni barcelona detenir quatre lladres multireincidents fraganti segons pogut passat matinada dimecres carrer eixample catalana detectat ultims dies augment robatoris forca zona dimarts nit dispositiu especial marc pla tremall encarat acabar multireincidencia agents veure vidre restaurant ronda sant antoni trencat acostar llunyania veure home portava motxilles esquena aturar escorcollar bosses portava vintena ordinadors portatils aparells electronics restaurant acabaven enxampar home presumptament robat escola carrer metres mes avall perque emportat intencionadament tornar cap dies voler joc claus escola portatils escola pia sant antoni alumnat especialment vulnerable dimecres vidre entrada trencat trencar tapa clavegueram fet malbe reixa proteccio detenir lladre anys faltava resoldre incognita atracat restaurant
Homicidi Consumat;Ara;resolt crim revetlla sant joan haixix narcos trets alella barcelonaeren juny passat cases alella preparaven celebrar revetlla sant joan tiroteig trencar calma soroll petards grup assaltants entrar casa localitat maresme obrir foc residents homes morir casa assaltada interior vehicle metres mes enlla hipotesi policial enfrontament vinculat trafic drogues confirmat detingut homes anys vinculacio fets investigacio policial conclos tiroteig alella narcoassalt grups criminals vinculats trafic haixix enfrontats segons fonts consultades apunta grups col laboraven intercanvi sortir malament plegat desencadenar revenja forma narcoassalt casa alella
Falsificació de moneda i efectes timbrats;Ara;detinguts catalunya narcos compraven marihuana millors bitllets falsificats europa barcelonaes diu operacio romina honor popular duet italia bano romina power llancar elhitfelicita operacio romina historia narcotraficants marihuana nacional batejat actuacio cantant perque majoria membres detinguts grup criminal albanesos investigacio comencar persecucio policial carrers salou juny patrulla veure vehicle conduint velocitat aturar ocupants homes portaven euros bitllets falsos euros vegada veia falsificacio gairebe perfecta punt partida operacio acabat deu detinguts diverses plantacions marihuana desmantellades bitllets cotxe salou calcats distribuiauna banda havien desarticulat octubre banda qualsevol xarxa falsificacio mes europa segons catalana aixi entendre operacio romina cal remuntar operacio sentinel referencies musicals cop triar nom perque persona aconseguir identificar grup criminal falsificava bitllets sentinella dir salvaguardava cales atzar home trobar bossa descampat cervello costat sant vicenc horts milions euros bitllets falsos gairebe perfectes
